Time (s),Manipulability,Joint Velocities
3.0556797981262207,1.4620872921154469,"[0.9846157303049677, 0.2209929165164194, 0.28922683776341734, 0.10904797818061186, -0.41665501777859154, 0.5737195699752144, -0.17759797685342318, -0.019387313353526493, -0.6886340513405529, 0.19982438981060782]"
3.0689706802368164,1.4614885394616328,"[0.9947076582612844, 0.213714441440159, 0.2971309562087914, 0.11224053067136625, -0.4406934750007121, 0.5748163125011537, -0.17646868740007016, 0.01896277201205732, -0.6899473969823354, 0.15760691750927133]"
3.099853754043579,1.4601555391256713,"[1.0056643757150885, 0.20618443809552392, 0.30643672188004595, 0.11599222843479529, -0.46661588913963725, 0.5759985664895518, -0.17536933108589, 0.057340339556173334, -0.6913644004137917, 0.11472404835112221]"
3.117022752761841,1.4580934256855544,"[0.9608028563699608, 0.21968204850241616, 0.2846860777819383, 0.10799971822546214, -0.26416354611839615, 0.5772891240280134, -0.17432757771347585, -0.08303716359205929, -0.6928913626999915, 0.26394545959190185]"
3.1511425971984863,1.4543582721197255,"[0.9643925002385474, 0.21534290832693606, 0.2874549416881842, 0.10935488515598492, -0.2627056837240932, 0.578897329716574, -0.17335445431957514, -0.06409204719213979, -0.6948268638528047, 0.2438366273085657]"
3.186276912689209,1.449859349747632,"[0.9682140332570246, 0.21100389917109047, 0.29067941334281117, 0.11091187842785113, -0.2612983014482947, 0.5806247524926842, -0.17241895448811334, -0.045658181535291914, -0.6969031641547805, 0.22428379025930983]"
3.2203824520111084,1.4446107425792916,"[0.9722709080815328, 0.20667189208238476, 0.2943450802615118, 0.11266788838803198, -0.25994127156784436, 0.5824728411094697, -0.17151987344715613, -0.02769780294129865, -0.6991224036715308, 0.20522027803920792]"
3.23811674118042,1.438627236453983,"[0.9765672191182599, 0.20235261683224384, 0.2984405039993421, 0.11462163732957811, -0.25863602206130254, 0.584443516348259, -0.1706563588197061, -0.010174671455019296, -0.7014873961134758, 0.18658209479892635]"
3.268169641494751,1.4319242980403986,"[0.9811059409658256, 0.1980516498784922, 0.30295537242724263, 0.11677215577828981, -0.25738041700967995, 0.5865382611120095, -0.16982700036247958, 0.006940848889843872, -0.7040003623074947, 0.16831241595862928]"
3.2798423767089844,1.4245180656706735,"[0.9858906482581405, 0.1937736880277262, 0.30788188217685586, 0.11911973833239203, -0.25617384523104897, 0.5887591720822816, -0.1690310604549124, 0.023677560023699314, -0.7066639907485723, 0.15035594983283795]"
